PLAYER_ID,PLAYER_NAME,TimeFrame,PTS,AST,REB
1722,Michael Dickerson,career,15.4,2.6,2.9
76564,Derrek Dickey,career,6.1,1.1,4.9
76565,Dick Dickey,career,2.8,1.1,1.8
101143,Travis Diener,career,4.8,2.4,1.4
203476,Gorgui Dieng,career,7.3,1.3,5.6
1631172,Ousmane Dieng,2024-25,3.8,0.8,2.2
76566,Connie Dierking,career,10.0,1.5,6.7
76567,Coby Dietrick,career,6.1,2.1,3.9
76569,Mickey Dillard,career,2.2,1.0,0.5
76570,Bob Dille,career,5.2,0.7,
1642265,Rob Dillingham,2024-25,4.5,2.0,1.0
76571,John Dillon,career,1.6,0.2,
76574,Byron Dinkins,career,3.4,2.1,1.2
76575,Jackie Dinkins,career,2.5,0.4,1.1
76576,Bill Dinwiddie,career,4.4,0.6,3.3
203915,Spencer Dinwiddie,2024-25,11.0,4.4,2.6
101113,Ike Diogu,career,6.0,0.3,3.1
2205,DeSagana Diop,career,2.0,0.4,3.7
76577,Terry Dischinger,career,13.8,1.8,5.6
76578,Fred Diute,career,1.6,0.6,1.9
124,Vlade Divac,career,11.8,3.1,8.2
2413,Juan Dixon,career,8.4,1.8,1.9
1059,Aleksandar Djordjevic,career,3.1,0.6,0.6
76580,Earl Dodd,career,1.7,0.7,
1720,Michael Doleac,career,4.9,0.6,3.3
76581,Joe Dolhon,career,6.4,2.3,1.4
76582,Bob Doll,career,8.4,1.4,
76583,James Donaldson,career,8.6,0.8,7.8
76584,Bob Donham,career,6.7,2.6,3.9
76586,Billy Donovan,career,2.4,2.0,0.6
76585,Harry Donovan,career,5.6,0.8,
1629029,Luka Dončić,2024-25,28.2,7.7,8.2
2039,Keyon Dooling,career,7.0,2.2,1.3
76587,Jacky Dorsey,career,2.4,0.3,2.4
201595,Joey Dorsey,career,2.6,0.4,3.9
1628416,Tyler Dorsey,career,6.6,1.3,2.3
1629652,Luguentz Dort,2024-25,10.1,1.6,4.1
1630245,Ayo Dosunmu,2024-25,12.3,4.5,3.5
1628422,Damyean Dotson,career,7.5,1.5,2.5
1629653,Devon Dotson,career,2.0,1.1,0.9
200763,Quincy Douby,career,4.1,0.7,1.1
76588,Bruce Douglas,career,1.8,2.1,1.8
76589,John Douglas,career,6.7,2.2,1.4
76590,Leon Douglas,career,7.9,1.1,6.5
428,Sherman Douglas,career,11.0,5.9,2.2
201962,Toney Douglas,career,7.6,2.3,2.2
201604,Chris Douglas-Roberts,career,7.1,1.1,2.1
1629635,Sekou Doumbouya,career,5.6,0.7,2.8
76592,Lloyd Dove,career,3.1,0.4,2.0
202220,Zabian Dowdell,career,5.0,2.1,0.8
76593,Bill Downey,career,0.0,0.0,
76594,Steve Downing,career,2.4,0.4,1.5
1630288,Jeff Dowtin Jr.,career,4.8,1.7,1.4
76595,Danny Doyle,career,4.0,0.8,2.0
1628495,Milton Doyle,career,3.4,1.0,1.8
1628408,PJ Dozier,2024-25,0.8,0.6,0.6
76596,Terry Dozier,career,2.4,0.3,1.7
201609,Goran Dragic,career,13.3,4.7,3.0
204054,Zoran Dragic,career,1.8,0.3,0.5
1068,Greg Dreiling,career,2.1,0.4,2.1
1630929,Henri Drell,career,2.8,1.0,1.0
1724,Bryce Drew,career,4.4,2.2,1.2
76598,John Drew,career,20.7,1.7,6.9
76599,Larry Drew,career,11.4,5.2,1.8
203580,Larry Drew II,career,2.9,2.5,0.8
17,Clyde Drexler,career,20.4,5.6,6.1
1041,Nate Driggers,career,2.4,0.4,1.5
76603,Terry Driscoll,career,4.2,0.8,4.2
1542,Predrag Drobnjak,career,7.9,0.8,3.5
76604,Ralph Drollinger,career,2.5,2.3,3.2
203083,Andre Drummond,2024-25,7.3,0.9,7.8
76623,Dennis DuVal,career,1.9,0.7,0.6
1630537,Chris Duarte,2024-25,2.1,0.5,1.2
1642505,Alex Ducas,career,1.7,0.2,1.2
76605,Dick Duckett,career,3.9,1.4,1.6
404,Kevin Duckworth,career,11.8,0.9,5.8
76607,Charles Dudley,career,5.3,3.4,3.0
201,Chris Dudley,career,3.9,0.4,6.2
201162,Jared Dudley,career,7.3,1.5,3.2
76608,Terry Duerod,career,6.7,1.2,1.1
76609,Bob Duffy,career,1.1,0.0,
76610,Bob Duffy,career,4.3,1.8,1.1
2768,Chris Duhon,career,6.5,4.4,2.3
1626251,Duje Dukan,career,6.0,1.0,4.0
1630561,David Duke Jr.,2024-25,2.7,0.7,0.8
76611,Walter Dukes,career,10.4,1.1,11.3
247,Joe Dumars,career,16.1,4.5,2.2
30,Richard Dumas,career,10.6,1.1,3.4
434,Tony Dumas,career,7.3,1.2,1.3
76615,Andy Duncan,career,5.5,0.7,2.1
1495,Tim Duncan,career,19.0,3.0,10.8
2399,Mike Dunleavy,career,11.2,2.2,4.3
76616,Mike Dunleavy,career,8.0,3.9,1.6
1627739,Kris Dunn,2024-25,6.4,2.8,3.4
76617,Pat Dunn,career,2.5,1.0,1.1
1642346,Ryan Dunn,2024-25,6.9,0.8,3.6
76618,T.R. Dunn,career,5.1,1.6,4.4
2648,Ronald Dupree,career,3.5,0.6,2.2
201142,Kevin Durant,2024-25,26.6,4.2,6.0
1631105,Jalen Duren,2024-25,11.8,2.7,10.3
76619,John Duren,career,3.5,2.0,1.1
1090,Pat Durham,career,5.0,0.9,1.7
76621,Devin Durrant,career,5.0,1.3,2.1
76622,Ken Durrett,career,4.0,0.5,1.9
1628979,Trevon Duval,career,1.7,0.7,0.3
76624,Jack Dwan,career,4.6,2.2,
76625,Craig Dykema,career,1.3,0.5,0.4
76626,Gene Dyker,career,1.5,0.5,1.5
202406,Jerome Dyson,career,7.4,2.0,2.1
289,Ledell Eackles,career,10.8,1.7,2.2
76628,Jim Eakins,career,5.5,1.3,3.8
768,Acie Earl,career,5.1,0.3,2.7
76630,Ed Earle,career,2.0,0.0,1.0
203921,Cleanthony Early,career,4.3,0.8,2.2
1631106,Tari Eason,2024-25,12.0,1.5,6.4
76631,Mark Eaton,career,6.0,1.0,7.9
76632,Jerry Eaves,career,6.7,2.5,1.2
202365,Devin Ebanks,career,3.6,0.4,1.9
76633,Bill Ebben,career,1.9,0.5,1.0
76634,Al Eberhard,career,6.8,0.8,3.5
2569,Ndudi Ebi,career,2.1,0.2,1.0
1630693,Jaime Echenique,career,0.0,0.0,0.0
204067,Jarell Eddie,career,2.6,0.1,0.9
76635,Patrick Eddie,career,1.0,0.0,0.3
76636,Thomas Eddleman,career,12.1,2.1,4.5
76637,Kent Edelin,career,1.1,1.0,2.6
1641744,Zach Edey,2024-25,9.2,1.0,8.3
76638,Keith Edmonson,career,6.0,0.6,1.5
721,Tyus Edney,career,7.6,4.0,1.7
1630162,Anthony Edwards,2024-25,27.6,4.5,5.7
76646,Bill Edwards,career,2.0,1.3,4.7
898,Blue Edwards,career,10.8,2.0,3.4
1629035,Carsen Edwards,career,3.7,0.7,1.1
2451,Corsley Edwards,career,2.7,0.3,2.5
346,Doug Edwards,career,2.4,0.7,1.8
76641,Franklin Edwards,career,6.1,2.6,1.0
229,James Edwards,career,12.7,1.3,5.1
76643,Jay Edwards,career,1.8,1.0,0.5
1642399,Jesse Edwards,career,0.0,0.5,0.0
2823,John Edwards,career,1.5,0.1,1.0
1642348,Justin Edwards,2024-25,10.1,1.6,3.4
1630556,Kessler Edwards,2024-25,4.2,1.1,2.9
236,Kevin Edwards,career,10.9,2.7,2.7
1630306,Rob Edwards,career,1.5,0.0,1.5
202197,Shane Edwards,career,1.0,0.0,1.0
1629053,Vincent Edwards,career,1.5,0.0,1.0
76647,Johnny Egan,career,7.8,3.0,1.8
76648,Lonnie Eggleston,career,2.0,0.5,
76649,Eddie Ehlers,career,8.1,1.8,
378,Craig Ehlo,career,8.6,2.8,3.6
76651,Dick Eichhorst,career,2.0,3.0,1.0
458,Howard Eisley,career,6.5,3.5,1.7
1918,Obinna Ekezie,career,3.6,0.2,2.7
2064,Khalid El-Amin,career,6.3,2.9,1.6
76653,Don Eliason,career,0.0,0.0,
53,Mario Elie,career,8.6,2.6,2.8
1629604,CJ Elleby,career,4.6,1.1,2.9
76655,Ray Ellefson,career,1.0,0.0,2.7
1627740,Henry Ellenson,career,4.1,0.6,2.5
201961,Wayne Ellington,career,8.0,1.1,2.1
76656,Bob Elliott,career,7.0,1.4,3.6
251,Sean Elliott,career,14.2,2.6,4.3
76658,Alexander Ellis,career,5.1,0.7,5.2
76664,Bo Ellis,career,3.6,0.7,2.9
107,Dale Ellis,career,15.7,1.4,3.5
1677,Harold Ellis,career,5.8,0.6,2.0
76661,Joe Ellis,career,8.8,1.4,5.1
1631165,Keon Ellis,2024-25,8.3,1.5,2.7
111,LaPhonso Ellis,career,11.9,1.6,6.5
1034,LeRon Ellis,career,3.0,0.3,2.4
76663,Leroy Ellis,career,9.7,1.3,8.3
101145,Monta Ellis,career,17.8,4.6,3.5
442,Pervis Ellison,career,9.5,1.5,6.7
600010,Len Elmore,career,4.6,0.9,4.2
1922,Francisco Elson,career,3.7,0.6,3.5
